Date/Time,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Stn Press (kPa),Month,Time
2019-08-08 19:00,22.1,20.8,92.0,25.0,11.0,99.18,8,19.0
2019-08-08 20:00,21.1,18.6,85.0,26.0,12.0,99.25,8,20.0
2019-08-08 21:00,20.3,18.5,90.0,25.0,14.0,99.31,8,21.0
2019-08-08 22:00,19.5,18.9,96.0,26.0,15.0,99.31,8,22.0
2019-08-08 23:00,18.3,16.4,89.0,29.0,15.0,99.33,8,23.0
2019-08-09 00:00,17.9,16.9,94.0,29.0,14.0,99.38,8,0.0
2019-08-09 01:00,17.4,17.0,98.0,29.0,10.0,99.39,8,1.0
2019-08-09 02:00,18.0,17.0,94.0,25.0,11.0,99.4,8,2.0
2019-08-09 03:00,17.5,15.7,89.0,26.0,12.0,99.38,8,3.0
2019-08-09 04:00,16.5,14.7,89.0,25.0,12.0,99.37,8,4.0
2019-08-09 05:00,16.1,14.4,90.0,26.0,14.0,99.41,8,5.0
2019-08-09 06:00,16.4,14.7,90.0,25.0,16.0,99.46,8,6.0
2019-08-09 07:00,17.3,14.8,85.0,28.0,18.0,99.52,8,7.0
2019-08-09 08:00,18.4,14.3,77.0,28.0,17.0,99.54,8,8.0
2019-08-09 09:00,20.1,14.1,68.0,27.0,21.0,99.56,8,9.0
2019-08-09 10:00,21.5,13.9,62.0,28.0,20.0,99.58,8,10.0
2019-08-09 11:00,22.9,13.3,55.0,26.0,21.0,99.6,8,11.0
2019-08-09 12:00,23.7,13.8,54.0,24.0,21.0,99.55,8,12.0
2019-08-09 13:00,20.9,15.2,70.0,23.0,28.0,99.53,8,13.0
2019-08-09 14:00,18.5,15.5,83.0,27.0,19.0,99.54,8,14.0
2019-08-09 15:00,20.2,16.1,78.0,24.0,29.0,99.54,8,15.0
2019-08-09 16:00,20.3,15.1,72.0,23.0,21.0,99.51,8,16.0
2019-08-09 17:00,21.1,16.9,77.0,23.0,21.0,99.45,8,17.0
2019-08-09 18:00,21.3,14.5,65.0,25.0,17.0,99.52,8,18.0
2019-08-09 19:00,19.7,14.6,72.0,27.0,16.0,99.5,8,19.0
2019-08-09 20:00,18.5,15.2,81.0,28.0,13.0,99.57,8,20.0
2019-08-09 21:00,18.4,14.2,76.0,27.0,14.0,99.63,8,21.0
2019-08-09 22:00,18.4,11.2,63.0,28.0,19.0,99.64,8,22.0
2019-08-09 23:00,17.7,11.6,68.0,27.0,18.0,99.65,8,23.0
2019-08-10 00:00,16.8,11.8,73.0,26.0,13.0,99.67,8,0.0
2019-08-10 01:00,15.6,12.2,80.0,27.0,13.0,99.67,8,1.0
2019-08-10 02:00,15.7,13.2,85.0,27.0,9.0,99.71,8,2.0
2019-08-10 03:00,14.3,13.7,96.0,31.0,13.0,99.74,8,3.0
2019-08-10 04:00,13.5,13.4,100.0,32.0,13.0,99.76,8,4.0
2019-08-10 05:00,14.8,14.3,97.0,33.0,12.0,99.82,8,5.0
2019-08-10 06:00,15.0,13.2,89.0,32.0,16.0,99.87,8,6.0
2019-08-10 07:00,16.5,12.7,78.0,32.0,12.0,99.93,8,7.0
2019-08-10 08:00,18.0,10.3,61.0,31.0,16.0,99.98,8,8.0
2019-08-10 09:00,19.3,10.1,55.0,31.0,22.0,100.0,8,9.0
2019-08-10 10:00,20.8,10.2,51.0,29.0,19.0,100.01,8,10.0
2019-08-10 11:00,21.9,10.7,49.0,30.0,20.0,99.98,8,11.0
2019-08-10 12:00,21.3,9.9,48.0,31.0,23.0,99.95,8,12.0
2019-08-10 13:00,20.5,10.2,52.0,28.0,22.0,99.97,8,13.0
2019-08-10 14:00,22.2,11.4,50.0,24.0,25.0,99.93,8,14.0
2019-08-10 15:00,17.7,14.9,84.0,33.0,4.0,99.96,8,15.0
2019-08-10 16:00,19.8,15.2,74.0,25.0,12.0,99.94,8,16.0
2019-08-10 17:00,19.9,15.0,73.0,25.0,17.0,99.94,8,17.0
2019-08-10 18:00,20.3,14.4,69.0,27.0,11.0,99.99,8,18.0
2019-08-10 19:00,18.8,12.3,66.0,34.0,9.0,100.07,8,19.0
2019-08-10 20:00,17.2,12.9,76.0,33.0,5.0,100.14,8,20.0
2019-08-10 21:00,16.2,13.5,84.0,33.0,5.0,100.19,8,21.0
2019-08-10 22:00,14.6,12.6,88.0,31.0,6.0,100.23,8,22.0
2019-08-10 23:00,13.6,13.6,100.0,32.0,7.0,100.25,8,23.0
2019-08-11 00:00,14.9,11.7,81.0,30.0,11.0,100.27,8,0.0
2019-08-11 01:00,14.9,11.5,80.0,30.0,14.0,100.28,8,1.0
2019-08-11 02:00,14.0,11.9,87.0,31.0,10.0,100.3,8,2.0
2019-08-11 03:00,14.6,12.9,90.0,30.0,13.0,100.32,8,3.0
2019-08-11 04:00,14.7,12.9,89.0,30.0,14.0,100.36,8,4.0
2019-08-11 05:00,14.7,13.2,90.0,25.0,5.0,100.41,8,5.0
2019-08-11 06:00,14.1,13.6,97.0,29.0,6.0,100.45,8,6.0
2019-08-11 07:00,16.5,14.9,91.0,28.0,6.0,100.46,8,7.0
2019-08-11 08:00,18.6,15.8,84.0,28.0,11.0,100.46,8,8.0
2019-08-11 09:00,20.3,14.5,70.0,27.0,9.0,100.46,8,9.0
2019-08-11 10:00,21.8,16.3,71.0,21.0,17.0,100.47,8,10.0
2019-08-11 11:00,23.4,15.1,60.0,23.0,16.0,100.45,8,11.0
2019-08-11 12:00,24.0,14.4,55.0,23.0,21.0,100.42,8,12.0
2019-08-11 13:00,24.5,15.2,56.0,23.0,22.0,100.41,8,13.0
2019-08-11 14:00,25.1,16.3,58.0,23.0,24.0,100.37,8,14.0
2019-08-11 15:00,24.0,15.2,58.0,23.0,23.0,100.34,8,15.0
2019-08-11 16:00,24.7,15.6,57.0,23.0,23.0,100.3,8,16.0
2019-08-11 17:00,24.1,15.0,57.0,23.0,21.0,100.28,8,17.0
2019-08-11 18:00,23.6,13.9,54.0,23.0,24.0,100.28,8,18.0
2019-08-11 19:00,23.0,13.8,56.0,25.0,20.0,100.27,8,19.0
2019-08-11 20:00,22.0,14.1,61.0,25.0,14.0,100.28,8,20.0
2019-08-11 21:00,21.6,15.6,69.0,25.0,14.0,100.28,8,21.0
2019-08-11 22:00,20.9,15.9,73.0,25.0,12.0,100.27,8,22.0
