MD,CALI,DEN_QI_EDIT,DT_QI_EDIT,GR,RT,IGR,VSH,porosity
7073.5,12.32389,2.179786,109.5603,24.34194,283.7574,0.034537474,0.007687266,0.310066667
7074,12.35888,2.166574,109.5603,25.73372,200.6175,0.041529122,0.009328055,0.317792982
7074.5,13.04507,2.153361,109.5603,26.44767,130.6565,0.045115672,0.010181227,0.325519883
7075,13.56807,2.153361,109.5603,26.25523,110.8659,0.044148944,0.009950487,0.325519883
7075.5,15.61827,2.153361,110.4411,25.0311,103.8823,0.03799949,0.008496049,0.325519883
7076,15.77932,2.153361,111.3219,32.41191,101.6888,0.075077212,0.017623615,0.325519883
7076.5,16.52591,2.153361,111.3219,31.87932,102.7992,0.07240173,0.016935533,0.325519883
7077,16.39114,2.162169,109.5603,31.23561,105.155,0.069168033,0.016110167,0.320369006
7077.5,15.57823,2.170978,109.5603,32.54234,109.0266,0.075732431,0.017792845,0.315217544
7078,15.90464,2.175382,109.5603,32.09763,109.9466,0.073498417,0.017217009,0.312642105
7078.5,15.57237,2.179786,109.5603,28.80415,109.4257,0.05695352,0.013053578,0.310066667
7079,14.75815,2.197402,109.5603,27.76066,106.9197,0.051711517,0.011770888,0.299764912
7079.5,13.94407,2.206211,108.6795,25.71645,110.4216,0.041442366,0.009307514,0.29461345
7080,12.67793,2.215019,108.6795,23.79057,117.3271,0.03176765,0.007045342,0.289462573
7080.5,12.51803,2.232635,108.6795,24.18435,133.5203,0.033745815,0.007503329,0.279160819
7081,12.42144,2.206211,109.5603,25.44094,153.6399,0.040058333,0.008980444,0.29461345
7081.5,12.55244,2.192998,109.5603,24.87294,173.3931,0.037204968,0.008309801,0.302340351
7082,12.55088,2.179786,109.5603,22.13522,186.3984,0.023451949,0.005145294,0.310066667
7082.5,12.38706,2.179786,110.4411,20.21515,209.8337,0.013806419,0.002991561,0.310066667
7083,12.19254,2.179786,110.4411,17.99433,238.7772,0.002650063,0.000566028,0.310066667
7083.5,12.38989,2.179786,110.4411,21.54254,282.7705,0.020474603,0.004474794,0.310066667
7084,12.35717,2.179786,110.4411,21.94428,306.0787,0.022492756,0.004928724,0.310066667
7084.5,12.45498,2.179786,109.5603,23.56145,299.7044,0.030616658,0.00677993,0.310066667
7085,12.48654,2.179786,108.6795,23.79997,278.9428,0.031814871,0.007056247,0.310066667
7085.5,12.25958,2.197402,107.7986,25.98062,247.7314,0.042769432,0.009622213,0.299764912
7086,12.39048,2.206211,107.7986,25.8255,196.1574,0.041990182,0.009437293,0.29461345
7086.5,12.45604,2.188594,107.7986,25.02528,202.9132,0.037970253,0.008489189,0.304915789
7087,12.61958,2.179786,107.7986,23.19564,239.7672,0.028779001,0.006357798,0.310066667
7087.5,12.81536,2.170978,107.7986,24.8735,350.0859,0.037207781,0.008310459,0.315217544
7088,13.04143,2.170978,107.7986,21.44998,650.034,0.020009625,0.004370543,0.315217544
7088.5,12.84321,2.162169,107.7986,19.73359,1602.877,0.011387288,0.002459703,0.320369006
7089,12.74576,2.162169,106.9178,20.74413,2199.098,0.016463766,0.003579608,0.320369006
7089.5,12.61599,2.162169,106.037,22.40153,1668.692,0.024789765,0.005448242,0.320369006
7090,12.71474,2.162169,106.037,23.6544,1730.45,0.031083596,0.006887508,0.320369006
7090.5,12.64981,2.162169,105.1561,19.72545,1943.168,0.011346397,0.002450741,0.320369006
7091,12.68294,2.170978,104.2753,24.21365,940.5601,0.033893005,0.007537499,0.315217544
7091.5,12.74741,2.197402,104.2753,26.90244,487.7509,0.047400223,0.010728784,0.299764912
7092,12.65641,2.197402,104.2753,27.19574,118.4681,0.048873624,0.011083631,0.299764912
7092.5,13.87774,2.188594,106.037,32.0986,59.97274,0.073503289,0.017218261,0.304915789
7093,15.75197,2.188594,106.037,34.72,45.09346,0.086671972,0.020660736,0.304915789
7093.5,16.10718,2.188594,107.8625,31.5538,43.99901,0.07076647,0.016517295,0.304915789
7094,16.49706,2.197402,109.9093,28.80647,44.46702,0.056965175,0.013056449,0.299764912
7094.5,16.59425,2.206211,107.7799,30.64169,42.9717,0.066184458,0.015354689,0.29461345
7095,17.27777,2.201807,108.4742,31.81049,40.02307,0.07205596,0.016846952,0.297188889
7095.5,17.43593,2.197402,106.2281,30.3001,36.46905,0.06446847,0.014922791,0.299764912
7096,17.23549,2.194466,109.0759,28.24323,30.59449,0.054135722,0.012361935,0.301481871
7096.5,16.68178,2.19153,106.7657,36.55821,25.09903,0.095906275,0.023145003,0.30319883
7097,16.87827,2.188594,108.2293,38.27206,19.66981,0.104515852,0.025514806,0.304915789
7097.5,16.23203,2.188594,110.0876,49.6735,17.15834,0.161791331,0.042684885,0.304915789
7098,16.55568,2.192742,112.6199,50.08776,16.81548,0.163872378,0.043357477,0.302490058
7098.5,16.28777,2.280824,111.4076,59.59895,16.80043,0.211652129,0.059829711,0.250980117
7099,15.49629,2.29347,111.8579,76.62355,16.44265,0.297175721,0.09485893,0.243584795
7099.5,13.64376,2.288221,112.3048,75.92809,15.88899,0.293682057,0.093272431,0.246654386
7100,13.27363,2.275955,109.879,76.2751,13.52678,0.295425272,0.094062261,0.253827485
7100.5,14.3892,2.254542,112.8636,77.27792,12.2569,0.300462969,0.09636473,0.266349708
7101,14.77951,2.225495,116.7367,81.41051,12.14549,0.321223159,0.106173359,0.283336257
7101.5,15.64783,2.254954,116.3083,82.79726,12.38263,0.32818954,0.109583558,0.266108772
7102,14.10736,2.153361,115.7261,70.6824,12.35278,0.267330175,0.081753017,0.325519883
7102.5,14.12597,2.153361,115.7261,63.58905,11.73058,0.231696516,0.06736412,0.325519883
7103,14.91292,2.153361,115.7261,64.68726,11.21901,0.237213408,0.069506724,0.325519883
7103.5,15.78723,2.153361,115.7261,69.05701,11.0173,0.259164979,0.078338826,0.325519883
7104,13.96027,2.153361,115.7261,73.89131,12.03064,0.283450231,0.088707029,0.325519883
7104.5,14.61331,2.153361,115.7261,73.18608,16.28811,0.279907487,0.087153985,0.325519883
7105,14.94163,2.157765,116.6069,71.57938,18.17987,0.271836181,0.083667997,0.322944444
7105.5,16.23976,2.162169,116.6069,70.09824,17.93414,0.264395629,0.08051773,0.320369006
7106,16.28897,2.162169,116.6069,69.44966,17.0289,0.261137468,0.079157064,0.320369006
7106.5,15.02754,2.179786,117.4878,66.4756,16.11004,0.246197188,0.073061301,0.310066667
7107,15.71345,2.197914,118.3686,70.46358,13.96034,0.266230926,0.081289203,0.299465497
7107.5,15.64189,2.218827,116.9856,56.22295,13.73777,0.194692691,0.053750508,0.287235673
7108,15.33597,2.29617,115.9794,75.75726,13.27237,0.292823887,0.092884899,0.242005848
7108.5,12.76178,2.366733,115.0965,74.50198,13.14294,0.28651795,0.090063281,0.200740936
7109,13.59398,2.298364,116.35,69.61269,12.64318,0.261956454,0.079498018,0.240722807
7109.5,14.40805,2.164526,117.2,58.48063,11.38911,0.206034214,0.057786581,0.318990643
7110,15.25468,2.173941,121.45,60.30382,10.67975,0.215193064,0.06113269,0.313484795
7110.5,15.28759,2.189886,122.8012,69.22017,10.46156,0.259984618,0.07867833,0.304160234
7111,15.87294,2.190076,120.1302,79.60683,10.16174,0.312162318,0.101828063,0.304049123
7111.5,14.60189,2.308645,121.0111,82.18018,9.624859,0.32508962,0.108058552,0.234710526
7112,12.61683,2.305351,121.0111,86.06474,9.097307,0.344603824,0.117863773,0.236636842
7112.5,13.04075,2.287916,121.0111,90.4413,8.647424,0.366589606,0.129515016,0.246832749
7113,13.30116,2.25982,121.0111,77.95439,8.485188,0.303861236,0.097934787,0.263263158
7113.5,13.04053,2.254017,121.0111,76.6337,8.845152,0.29722671,0.09488219,0.266656725
7114,13.92014,2.244426,120.1302,78.23766,8.868073,0.305284251,0.098596321,0.272265497
7114.5,13.43296,2.272455,120.1302,70.3669,8.984024,0.265745251,0.081084694,0.255874269
7115,14.50771,2.221251,121.0111,70.69363,9.930459,0.267386589,0.081776856,0.285818129
7115.5,15.45215,2.144553,121.0111,68.26398,10.0696,0.255181169,0.07669881,0.33067076
7116,13.75748,2.144553,117.1995,68.47697,10.9632,0.25625113,0.077137637,0.33067076
7116.5,14.34533,2.140149,118.152,55.6906,11.28249,0.192018414,0.052815805,0.333246199
7117,15.67966,2.135744,118.5999,51.67676,10.13549,0.171854768,0.045970927,0.335822222
7117.5,16.00394,2.13134,117.0987,52.50386,10.04801,0.17600973,0.047352589,0.338397661
