2019-04-19 06:53:12,"Mumbai, India",818,2181,"Gear for the summer☀️

@SamsungMobile @Samsung_IN  @FitbitIN @fitbit #FitbitVersaLite #GalaxyS10Plus #GalaxyBuds… https://t.co/rOyqRnUl6n","[[[72.74484, 18.845343], [73.003648, 18.845343], [73.003648, 19.502937], [72.74484, 19.502937]]]","Mumbai, India",India,IN,city

2019-04-19 06:51:32,find me,486,750,there are so many cute wallpaper in samsung galaxy store,"[[[124.5826856, 6.2054362], [124.8739681, 6.2054362], [124.8739681, 6.4120133], [124.5826856, 6.4120133]]]","Surallah, Soccsksargen",Republic of the Philippines,PH,city

2019-04-19 06:44:48,"San Francisco, CA",20,154,@UnboxTherapy @Jon4Lakers @LewLater #Apple will be the winner in this giants battle with Samsung. It’s really clear… https://t.co/dj8Ke7nbE2,"[[[-122.514926, 37.708075], [-122.357031, 37.708075], [-122.357031, 37.833238], [-122.514926, 37.833238]]]","San Francisco, CA",United States,US,city

2019-04-19 06:43:52,"Bengaluru, India",81,167,"Somebody is spreading Fake message in the name of Samsung  and asking for personal details.. @BlrCityPolice  
Kindl… https://t.co/1hXPSlCi1w","[[[77.3305776, 12.731936], [77.7863188, 12.731936], [77.7863188, 13.1142933], [77.3305776, 13.1142933]]]","Bengaluru South, India",India,IN,city

2019-04-19 06:27:12,"Kuwait, Al-Qairawan",543,731,"Samsung Galaxy Fold Unboxing https://t.co/JOTEQpANux via @YouTube, #Samsung #SamsungGalaxyFold #Unboxing","[[[47.7294803, 29.3215658], [47.7918581, 29.3215658], [47.7918581, 29.3628627], [47.7294803, 29.3628627]]]","Jaber Al Ahmad City, Kuwait",Kuwait,KW,city

2019-04-19 06:27:04,"Shreveport, LA",51,309,This new Samsung update 🔥🔥🔥,"[[[-93.74855, 32.419303], [-93.584206, 32.419303], [-93.584206, 32.630042], [-93.74855, 32.630042]]]","Bossier City, LA",United States,US,city

2019-04-19 06:16:34,Everywhere,3801,2300,Galaxy Fold: Samsung investigates as screens break in first days https://t.co/LV2ng6Wpwc,"[[[-2.779296, 53.4102828], [-2.680364, 53.4102828], [-2.680364, 53.484131], [-2.779296, 53.484131]]]","Saint Helens, England",United Kingdom,GB,city

2019-04-19 06:08:17,Rotherham,178,344,@sparkyuk11 @cutslasher @agilethumbs @wyamercy @StarLord_2003 @aignacio09 @markgurman I'm an astrophysicist. Samsun… https://t.co/o35CayBNJ5,"[[[-1.3689068, 53.4495233], [-1.318947, 53.4495233], [-1.318947, 53.476793], [-1.3689068, 53.476793]]]","Rawmarsh, England",United Kingdom,GB,city

2019-04-19 06:04:56,Barranquilla - Colombia,698,164,I want to go back to iphone asap fuck this samsung shit lol,"[[[-74.9257650027657, 10.8695279953779], [-74.7741010007543, 10.8695279953779], [-74.7741010007543, 11.0466177617921], [-74.9257650027657, 11.0466177617921]]]","Barranquilla, Colombia",Colombia,CO,city

